keyword,language,country,region,volume,trend,relatedQueries,source,lastChecked,sourceUrl,seedQuery,sourceFile,topicCluster,isRelevant,isDuplicateFile
нейросеть для написания постов для соцсетей,ru,RU,all_regions,111,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для написания текстов постов,ru,RU,all_regions,130,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для описания постов,ru,RU,all_regions,66,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для оформления постов,ru,RU,all_regions,16,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для постов,ru,RU,all_regions,2664,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для постов бесплатно,ru,RU,all_regions,575,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для постов бесплатно без регистрации,ru,RU,all_regions,14,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для постов бесплатно написания соцсетей,ru,RU,all_regions,74,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для постов в telegram,ru,RU,all_regions,6,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для постов в соц,ru,RU,all_regions,49,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для постов вк бесплатно,ru,RU,all_regions,84,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для постов гигачат,ru,RU,all_regions,11,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для постов инстаграм,ru,RU,all_regions,46,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,instagram_carousel,True,False
нейросеть для постов каруселей,ru,RU,all_regions,91,unknown,,yandex_wordstat_manual,2026-06-08,,карусель нейросеть,wordstat_top_queries-3,ai_carousel,True,False
нейросеть для создания картинок для постов,ru,RU,all_regions,32,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для создания каруселей,ru,RU,all_regions,173,unknown,,yandex_wordstat_manual,2026-06-08,,карусель нейросеть,wordstat_top_queries-3,ai_carousel,True,False
нейросеть для создания карусели бесплатно,ru,RU,all_regions,29,unknown,,yandex_wordstat_manual,2026-06-08,,карусель нейросеть,wordstat_top_queries-3,ai_carousel,True,False
нейросеть для создания карусели в инстаграм,ru,RU,all_regions,44,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
нейросеть для создания поста в сети,ru,RU,all_regions,49,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для создания поста в соцсети бесплатно,ru,RU,all_regions,12,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для создания постов,ru,RU,all_regions,445,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для создания постов в соц,ru,RU,all_regions,43,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для создания постов в соц сетях,ru,RU,all_regions,43,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для создания постов для вк,ru,RU,all_regions,27,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для создания постов каруселей,ru,RU,all_regions,58,unknown,,yandex_wordstat_manual,2026-06-08,,карусель нейросеть,wordstat_top_queries-3,ai_carousel,True,False
нейросеть для создания рекламных постов,ru,RU,all_regions,7,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для создания текста для постов,ru,RU,all_regions,90,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть для фото постов,ru,RU,all_regions,81,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть картинки для поста,ru,RU,all_regions,91,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть карусель бесплатно,ru,RU,all_regions,69,unknown,,yandex_wordstat_manual,2026-06-08,,карусель нейросеть,wordstat_top_queries-3,ai_carousel,True,False
нейросеть карусель для инстаграма,ru,RU,all_regions,87,unknown,,yandex_wordstat_manual,2026-06-08,,карусель для инстаграм,wordstat_top_queries-2,instagram_carousel,True,False
нейросеть карусель инстаграм,ru,RU,all_regions,99,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
нейросеть которая делает карусели,ru,RU,all_regions,39,unknown,,yandex_wordstat_manual,2026-06-08,,карусель нейросеть,wordstat_top_queries-3,ai_carousel,True,False
нейросеть которая делает посты карусели,ru,RU,all_regions,28,unknown,,yandex_wordstat_manual,2026-06-08,,карусель нейросеть,wordstat_top_queries-3,ai_carousel,True,False
нейросеть которая создает карусель для инстаграм,ru,RU,all_regions,5,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
нейросеть написать пост для тг,ru,RU,all_regions,3,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть онлайн для постов,ru,RU,all_regions,41,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть пишет посты для для соцсетей,ru,RU,all_regions,15,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть пост для телеграм,ru,RU,all_regions,17,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть посты для wildberries,ru,RU,all_regions,7,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть посты для соцсетей,ru,RU,all_regions,674,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть сгенерировать пост для тг,ru,RU,all_regions,2,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть текст для поста в вк,ru,RU,all_regions,23,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
нейросеть темы для постов,ru,RU,all_regions,78,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
непрерывная карусель в инстаграм,ru,RU,all_regions,33,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
оформление карусели в инстаграм,ru,RU,all_regions,22,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
поменять фото в карусели в инстаграме,ru,RU,all_regions,43,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
пост для социальных сетей нейросетью,ru,RU,all_regions,102,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
пост для соцсетей нейросеть бесплатно,ru,RU,all_regions,192,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
пост для соцсетей с помощью нейросети,ru,RU,all_regions,13,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
пост карусель в инстаграм 2026,ru,RU,all_regions,36,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
пост карусель в инстаграм как опубликовать,ru,RU,all_regions,20,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
пост карусель в инстаграм какой размер,ru,RU,all_regions,29,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
пост карусель для инстаграм,ru,RU,all_regions,232,unknown,,yandex_wordstat_manual,2026-06-08,,карусель для инстаграм,wordstat_top_queries-2,instagram_carousel,True,False
посты для вк нейросеть,ru,RU,all_regions,218,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
посты карусели в инстаграм,ru,RU,all_regions,828,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
посты карусели с помощью ии,ru,RU,all_regions,23,unknown,,yandex_wordstat_manual,2026-06-08,,карусель ии,wordstat_top_queries,ai_carousel,True,False
приложение для карусели в инстаграме,ru,RU,all_regions,281,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
приложение для карусели в инстаграме бесплатно,ru,RU,all_regions,45,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
приложение для создания карусели в инстаграм,ru,RU,all_regions,134,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
приложение для создания карусели в инстаграм бесплатно,ru,RU,all_regions,25,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
примеры карусели в инстаграм,ru,RU,all_regions,19,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
программа для карусели в инстаграме,ru,RU,all_regions,34,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
программа для создания карусели в инстаграм,ru,RU,all_regions,10,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
промт для ии для карусели,ru,RU,all_regions,16,unknown,,yandex_wordstat_manual,2026-06-08,,ии для карусели,wordstat_top_queries-6,ai_carousel,True,False
промт ии карусель,ru,RU,all_regions,27,unknown,,yandex_wordstat_manual,2026-06-08,,карусель ии,wordstat_top_queries,ai_carousel,True,False
публикация карусель в инстаграм,ru,RU,all_regions,170,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
размер для карусели в инстаграм,ru,RU,all_regions,208,unknown,,yandex_wordstat_manual,2026-06-08,,карусель для инстаграм,wordstat_top_queries-2,instagram_carousel,True,False
размер изображения для карусели инстаграм,ru,RU,all_regions,24,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
размер картинки для карусели в инстаграм,ru,RU,all_regions,26,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
размер карусели в инстаграм,ru,RU,all_regions,645,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
размер карусели инстаграм 2026,ru,RU,all_regions,104,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
размер пост карусели для инстаграм,ru,RU,all_regions,51,unknown,,yandex_wordstat_manual,2026-06-08,,карусель для инстаграм,wordstat_top_queries-2,instagram_carousel,True,False
размер поста карусели в инстаграм,ru,RU,all_regions,146,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
размер поста карусель в инстаграм 2026,ru,RU,all_regions,23,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
размер фото для карусели в инстаграм,ru,RU,all_regions,98,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
разрешение карусели в инстаграм,ru,RU,all_regions,24,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
реклама ий блок карусель,ru,RU,all_regions,5,unknown,,yandex_wordstat_manual,2026-06-08,,карусель ии,wordstat_top_queries,carousel_general,True,False
рекламный пост для нейросети,ru,RU,all_regions,23,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
сгенерировать пост для поста нейросеть,ru,RU,all_regions,74,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
сделать карусель для инстаграм,ru,RU,all_regions,277,unknown,,yandex_wordstat_manual,2026-06-08,,карусель для инстаграм,wordstat_top_queries-2,instagram_carousel,True,False
сделать карусель для инстаграм нейросеть,ru,RU,all_regions,5,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
сделать карусель для инстаграм онлайн,ru,RU,all_regions,36,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
сервис карусель ии,ru,RU,all_regions,9,unknown,,yandex_wordstat_manual,2026-06-08,,карусель ии,wordstat_top_queries,ai_carousel,True,False
скачать карусель из инстаграм,ru,RU,all_regions,37,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
скачать фото из карусели инстаграм,ru,RU,all_regions,17,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
сколько максимум картинок в карусели инстаграм,ru,RU,all_regions,8,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
сколько можно фото в карусель инстаграм,ru,RU,all_regions,79,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
сколько слайдов в карусели инстаграм,ru,RU,all_regions,34,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
сколько слайдов для карусели максимум в инстаграм,ru,RU,all_regions,14,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
сколько фото в карусели инстаграм максимум,ru,RU,all_regions,20,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
сколько фото можно добавить в карусель инстаграм,ru,RU,all_regions,41,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
создание каруселей для инстаграм,ru,RU,all_regions,400,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
создание каруселей с помощью ии,ru,RU,all_regions,5,unknown,,yandex_wordstat_manual,2026-06-08,,карусель ии,wordstat_top_queries,ai_carousel,True,False
создание карусели для инстаграм онлайн,ru,RU,all_regions,7,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
создание постов для соцсетей нейросеть,ru,RU,all_regions,73,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
создать ии текст для поста,ru,RU,all_regions,19,unknown,,yandex_wordstat_manual,2026-06-08,,ии для постов,wordstat_top_queries-5,social_content,True,False
создать карусель для инстаграм,ru,RU,all_regions,210,unknown,,yandex_wordstat_manual,2026-06-08,,карусель для инстаграм,wordstat_top_queries-2,instagram_carousel,True,False
создать карусель ии,ru,RU,all_regions,123,unknown,,yandex_wordstat_manual,2026-06-08,,карусель ии,wordstat_top_queries,ai_carousel,True,False
создать пост для вк ии,ru,RU,all_regions,19,unknown,,yandex_wordstat_manual,2026-06-08,,ии для постов,wordstat_top_queries-5,social_content,True,False
создать пост карусель ии,ru,RU,all_regions,38,unknown,,yandex_wordstat_manual,2026-06-08,,карусель ии,wordstat_top_queries,ai_carousel,True,False
создать текст для поста нейросеть,ru,RU,all_regions,60,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
соотношение сторон для карусели в инстаграм,ru,RU,all_regions,29,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
составить пост для социальной сети нейросеть бесплатно,ru,RU,all_regions,39,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
текст для ии карусель,ru,RU,all_regions,15,unknown,,yandex_wordstat_manual,2026-06-08,,карусель ии,wordstat_top_queries,ai_carousel,True,False
текст для поста нейросеть,ru,RU,all_regions,507,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
текст для поста нейросеть бесплатно,ru,RU,all_regions,115,unknown,,yandex_wordstat_manual,2026-06-08,,нейросеть для постов,wordstat_top_queries-4,social_content,True,False
темы для постов ии,ru,RU,all_regions,42,unknown,,yandex_wordstat_manual,2026-06-08,,ии для постов,wordstat_top_queries-5,social_content,True,False
тренд карусель ии,ru,RU,all_regions,68,unknown,,yandex_wordstat_manual,2026-06-08,,карусель ии,wordstat_top_queries,ai_carousel,True,False
тренд карусель ии бесплатно,ru,RU,all_regions,24,unknown,,yandex_wordstat_manual,2026-06-08,,карусель ии,wordstat_top_queries,ai_carousel,True,False
тренд карусель ии сделать,ru,RU,all_regions,6,unknown,,yandex_wordstat_manual,2026-06-08,,карусель ии,wordstat_top_queries,ai_carousel,True,False
удалить фото из карусели инстаграм,ru,RU,all_regions,23,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
фон для карусели в инстаграм,ru,RU,all_regions,64,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
формат для карусели в инстаграм,ru,RU,all_regions,149,unknown,,yandex_wordstat_manual,2026-06-08,,карусель для инстаграм,wordstat_top_queries-2,instagram_carousel,True,False
формат карусели в инстаграм,ru,RU,all_regions,652,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
формат карусели в инстаграм 2026,ru,RU,all_regions,99,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
формат карусели в инстаграм размер,ru,RU,all_regions,25,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
формат поста карусели в инстаграм,ru,RU,all_regions,89,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
формат публикации в инстаграм карусель,ru,RU,all_regions,38,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
формат фото для карусели в инстаграм,ru,RU,all_regions,83,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
фотки в карусели инстаграм,ru,RU,all_regions,50,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
фото для карусели в инстаграм,ru,RU,all_regions,226,unknown,,yandex_wordstat_manual,2026-06-08,,карусель для инстаграм,wordstat_top_queries-2,instagram_carousel,True,False
чат ии для поста,ru,RU,all_regions,53,unknown,,yandex_wordstat_manual,2026-06-08,,ии для постов,wordstat_top_queries-5,social_content,True,False
что значит карусель в инстаграме,ru,RU,all_regions,18,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
что такое карусель в инстаграм,ru,RU,all_regions,259,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
шаблоны для карусели в инстаграм,ru,RU,all_regions,97,unknown,,yandex_wordstat_manual,2026-06-08,,инстаграм карусель,wordstat_top_queries-10,instagram_carousel,True,False
